epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.71251719,0.50134718,0.70237464,0.71220775,0.50141847,0.70252001,[32],0.00500000,0.10000000,5
1,0.44179900,0.28600937,0.42312893,0.43784216,0.28489277,0.42108452,[32],0.00500000,0.10000000,5
2,0.41451828,0.26487300,0.39697537,0.41032244,0.26438099,0.39505824,[32],0.00500000,0.10000000,5
3,0.40300634,0.25717598,0.38532925,0.39949009,0.25714830,0.38434449,[32],0.00500000,0.10000000,5
4,0.39753341,0.25317487,0.37977067,0.39429447,0.25362453,0.37917253,[32],0.00500000,0.10000000,5
10,0.38267566,0.24256049,0.36484542,0.38015506,0.24390516,0.36526227,[32],0.00500000,0.10000000,5
20,0.37597753,0.23793539,0.35783979,0.37442803,0.23969726,0.35939810,[32],0.00500000,0.10000000,5
30,0.37124372,0.23404562,0.35285863,0.37000691,0.23591544,0.35483837,[32],0.00500000,0.10000000,5
40,0.36840828,0.23125625,0.34975073,0.36712456,0.23317952,0.35174716,[32],0.00500000,0.10000000,5
50,0.36598875,0.22873494,0.34714946,0.36506084,0.23076153,0.34955925,[32],0.00500000,0.10000000,5
60,0.36395797,0.22855255,0.34511420,0.36295162,0.23061553,0.34749871,[32],0.00500000,0.10000000,5
70,0.36247306,0.22699347,0.34345785,0.36162997,0.22909714,0.34602341,[32],0.00500000,0.10000000,5
80,0.36112594,0.22659485,0.34211791,0.36031462,0.22868323,0.34473777,[32],0.00500000,0.10000000,5
90,0.36043756,0.22537318,0.34111330,0.35985144,0.22757834,0.34397277,[32],0.00500000,0.10000000,5
100,0.35956350,0.22555183,0.34035739,0.35902141,0.22759117,0.34327015,[32],0.00500000,0.10000000,5
110,0.35912778,0.22403683,0.33975002,0.35866569,0.22622056,0.34277526,[32],0.00500000,0.10000000,5
120,0.35875494,0.22349188,0.33934501,0.35829550,0.22554679,0.34236157,[32],0.00500000,0.10000000,5
130,0.35841600,0.22379933,0.33904427,0.35835809,0.22595882,0.34249163,[32],0.00500000,0.10000000,5
140,0.35771894,0.22388981,0.33828488,0.35761787,0.22605163,0.34169728,[32],0.00500000,0.10000000,5
150,0.35757350,0.22342171,0.33814189,0.35722806,0.22548738,0.34130886,[32],0.00500000,0.10000000,5
160,0.35761981,0.22429004,0.33823702,0.35733250,0.22634105,0.34145010,[32],0.00500000,0.10000000,5
170,0.35706628,0.22274891,0.33757383,0.35678925,0.22468959,0.34081796,[32],0.00500000,0.10000000,5
180,0.35655353,0.22262733,0.33700803,0.35640237,0.22463550,0.34037682,[32],0.00500000,0.10000000,5
190,0.35613953,0.22220656,0.33658779,0.35580888,0.22413833,0.33979878,[32],0.00500000,0.10000000,5
200,0.35620337,0.22325522,0.33666801,0.35601169,0.22521675,0.34000567,[32],0.00500000,0.10000000,5
