run_name,type,lambda_bt,n_dims_code,epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
221218_123449-VAE-64-[128]-10-lambda_0.0,VAE,0.0,64,200,0.18161312,0.05810558,0.07841922,0.18184695,0.05812022,0.07894782,[128],0.005,0.1,10
221218_070954-VAEBT-64-[128]-10-lambda_0.0025,VAEBT,0.0025,64,200,0.18270448,0.05959253,0.08031208,0.1830275,0.05960554,0.08080911,[128],0.005,0.1,10
221218_071004-VAEBT-64-[128]-10-lambda_-0.00025,VAEBT,-0.00025,64,200,0.18336289,0.06009412,0.08110967,0.1836462,0.06013136,0.08162633,[128],0.005,0.1,10
221218_070959-VAEBT-64-[128]-10-lambda_0.00025,VAEBT,0.00025,64,200,0.1833207,0.060455,0.08165385,0.1836322,0.06050203,0.08218706,[128],0.005,0.1,10
221218_070947-VAEBT-64-[128]-10-lambda_0.025,VAEBT,0.025,64,200,0.18395873,0.06033351,0.0817968,0.18417577,0.06034167,0.08223101,[128],0.005,0.1,10
221218_070739-VAEBT-64-[128]-10-lambda_0.25,VAEBT,0.25,64,200,0.18426569,0.06210765,0.08414322,0.18459742,0.06214692,0.08473625,[128],0.005,0.1,10
221218_082656-VAEBT-128-[128]-10-lambda_0.025,VAEBT,0.025,128,200,0.20262636,0.08614206,0.11680231,0.20252702,0.08582012,0.11670883,[128],0.005,0.1,10
221218_082731-VAEBT-128-[128]-10-lambda_-0.00025,VAEBT,-0.00025,128,200,0.20313261,0.08674274,0.11766073,0.20297161,0.08639605,0.11747633,[128],0.005,0.1,10
221218_082709-VAEBT-128-[128]-10-lambda_0.0025,VAEBT,0.0025,128,200,0.20340323,0.08687608,0.11773761,0.2032022,0.08648447,0.11749567,[128],0.005,0.1,10
221218_082726-VAEBT-128-[128]-10-lambda_0.00025,VAEBT,0.00025,128,200,0.20353802,0.0866506,0.11789526,0.20348614,0.08628005,0.11770136,[128],0.005,0.1,10
221218_082427-VAEBT-128-[128]-10-lambda_0.25,VAEBT,0.25,128,200,0.20335695,0.08707356,0.11806639,0.203202,0.08673392,0.11788999,[128],0.005,0.1,10
